"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"53","madracis","KDHIII_37_16Feb18_011.fcs",2,"MM3-april29",1,189,2.4426,2.2412,0.2014,"8min","KDHIII_37_16Feb18_011.fcs",78954,4153,5501,9017,1116,794,2664,11025,1061,770,2561,9835,3162.85998013903,24150.9433962264,5541.21151936445,3942.40317775571,13227.408142999,NA,526822.429906542,NA
"54","madracis","KDHIII_37_16Feb18_012.fcs",2,"MM3-april29",2,196,2.4495,2.2409,0.2086,"8min","KDHIII_37_16Feb18_012.fcs",68986,4327,3624,7593,691,619,1676,7557,650,605,1579,6468,1716.20325982742,15656.7593480345,3312.55992329818,2967.40172579099,8034.51581975072,NA,329572.49070632,NA
"55","siderastrea","KDHIII_38_1Mar18_001.fcs",2,"S4-april29",0,186,2.3451,2.1461,0.199,"8min","KDHIII_38_1Mar18_001.fcs",151423,3379,6111,8441,1251,930,2643,23844,1200,930,2524,23065,5271.3567839196,25437.1859296482,6286.43216080402,4673.36683417085,13281.4070351759,119819.095477387,560287.356321839,440468.260844452
"56","siderastrea","KDHIII_38_1Mar18_002.fcs",2,"S4-april29",1,189,2.4078,2.2075,0.2003,"8min","KDHIII_38_1Mar18_002.fcs",181170,3193,6404,8359,1229,1055,2625,23169,1182,1055,2522,22307,6180.72890664004,25791.3130304543,6135.79630554169,5267.09935097354,13105.3419870195,115671.492760859,559094.26987061,443422.777109751
"57","siderastrea","KDHIII_38_1Mar18_003.fcs",2,"S4-april29",2,187,2.4386,2.2402,0.1984,"8min","KDHIII_38_1Mar18_003.fcs",232482,2992,5945,8132,1253,929,2609,26379,1195,928,2466,24916,4057.45967741936,25907.2580645161,6315.52419354839,4682.45967741936,13150.2016129032,132958.669354839,671226.765799257,538268.096444418
"58","cont","KDHIII_38_1Mar18_004.fcs",2,"Cont4-april29",0,189,2.4327,2.2322,0.2005,"8min","KDHIII_38_1Mar18_004.fcs",141833,3344,5831,8658,1269,860,2632,21970,1238,854,2493,21068,2578.5536159601,26503.7406483791,6329.17705735661,4289.27680798005,13127.1820448878,109576.059850374,503244.781783681,393668.721933307
"59","cont","KDHIII_38_1Mar18_005.fcs",2,"Cont4-april29",1,192,2.4375,2.234,0.2035,"8min","KDHIII_38_1Mar18_005.fcs",144176,3383,5734,8696,1232,884,2788,22329,1190,877,2683,21374,2068.79606879607,26108.1081081081,6054.05405405405,4343.98034398034,13700.2457002457,109724.815724816,557533.980582524,447809.164857708
"60","cont","KDHIII_38_1Mar18_006.fcs",2,"Cont4-april29",2,190,2.4135,2.2121,0.2014,"8min","KDHIII_38_1Mar18_006.fcs",153616,3177,5855,8389,1269,905,2625,24059,1208,881,2478,22937,3192.65143992056,25878.8480635551,6300.89374379345,4493.545183714,13033.7636544191,119458.788480636,588195.488721804,468736.700241169
"61","siderastrea","KDHIII_38_1Mar18_007.fcs",2,"S3-april29",0,187,2.4238,2.2244,0.1994,"8min","KDHIII_38_1Mar18_007.fcs",132575,3213,5686,8334,1217,849,2516,22305,1168,845,2415,21429,2833.50050150451,25682.0461384152,6103.30992978937,4257.77331995988,12617.853560682,111860.581745236,542427.536231884,430566.954486648
"62","siderastrea","KDHIII_38_1Mar18_008.fcs",2,"S3-april29",1,187,2.4298,2.2307,0.1991,"8min","KDHIII_38_1Mar18_008.fcs",136601,3168,5628,8345,1188,836,2499,23006,1147,831,2372,22031,2265.19337016575,26002.0090406831,5966.85082872928,4198.89502762431,12551.4816675038,115549.974886991,529744.058500914,414194.083613923
"63","siderastrea","KDHIII_38_1Mar18_009.fcs",2,"S3-april29",2,188,2.4971,2.2975,0.1996,"8min","KDHIII_38_1Mar18_009.fcs",189713,3221,5151,7975,1087,810,2315,22264,1057,800,2196,21118,1988.97795591182,23817.6352705411,5445.89178356713,4058.11623246493,11598.1963927856,111543.086172345,562705.667276051,451162.581103707
